LAT,LONG
40.34814,-70.52766
40.35895,-70.53929
40.36366,-70.54217
40.36934,-70.54579
40.4106,-70.57968
40.41766,-70.59055
40.42096,-70.59654
40.4242,-70.6031
40.43181,-70.62347
40.43354,-70.63039
40.4346,-70.6357
40.4361,-70.64303
40.4405,-70.66471
40.44343,-70.67965
40.44938,-70.7085
